,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
26,IEEE International Conference on e-Science and Grid Computing,e-Science,CORE2021,B,none,eScience,4606,0,
27,European Association for Computational Linguistics,EACL,CORE2021,A,none,eacl,4602,1,5.0
28,Conference of the European Association for Machine Translation,EAMT,CORE2021,B,none,eamt,4602,0,
29,International Conference on Engineering Applications of Neural Networks,EANN,CORE2021,C,none,eann,4611,0,
30,International Conference on Evaluation and Assessment in Software Engineering,EASE,CORE2021,A,none,ease,4612,30,5.0
31,EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,CORE2021,C,none,eatis,4606,0,
32,ACM Conference on Economics and Computation,EC,CORE2021,A*,none,sigecom,4602,2,5.0
33,European Conference on Technology Enhanced Learning,EC-TEL,CORE2021,B,none,ectel,4601,7,4.7
34,European Conference on Artificial Intelligence,ECAI,CORE2021,A,none,ecai,4602,0,
35,European Conference on Computational Biology,ECCB,CORE2021,B,none,,4601,0,
36,European Chapter on Combinatorial Optimization,ECCO,CORE2021,C,none,,4613,0,
37,European Conference on Computer Vision,ECCV,CORE2021,A*,none,eccv,4603,4,5.0
38,European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,CORE2021,C,none,,4601,0,
39,European Conference on Information Retrieval,ECIR,CORE2021,A,none,ecir,4605,1,3.0
40,European Conference on Modelling Foundations and Applications,ECMFA,CORE2021,NEW,none,ecmdafa,4612,0,
41,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,CORE2021,A,none,pkdd,4611,1,5.0
42,International Conference on Modelling and Simulation,ECMS,CORE2021,B,none,ecms,4602,0,
43,European Conference on Object-Oriented Programming,ECOOP,CORE2021,A,none,ecoop,4612,0,
44,Euromicro Conference on Real-Time Systems,ECRTS,CORE2021,A,none,ecrts,4606,0,
45,European Conference on Software Architecture,ECSA,CORE2021,A,none,ecsa,4612,0,
